Lat,Long,Group ID
53.2902,-6.44728,N7E-J4J3A-6595E
53.2902,-6.4474,N7E-J4J3A-6595E
53.2902,-6.4474,N7E-J4J3A-6595E
53.2902,-6.44728,N7E-J4J3A-6595E
53.3028,-6.42135,N7E-J2J2-4254E
53.3149,-6.38247,N7E-J1AJ1-1727E
53.3083,-6.40453,N7E-J1AJ2-2942E
53.3212,-6.35903,NOT-IN-SCOPE
53.2626,-6.53738,N7E-J6J5-13467E
53.2626,-6.53738,N7E-J6J5-13467E
53.2626,-6.53738,N7E-J6J5-13467E
53.2603,-6.54369,N7W-J6J5-14037W
53.2598,-6.54586,N7W-J6J5-14133W
53.2597,-6.5458,N7W-J6J5-14132W
53.2597,-6.5458,N7W-J6J5-14133W
53.2597,-6.5458,N7W-J6J5-14133W
53.2597,-6.5457,N7W-J6J5-14133W
53.2472,-6.5991,N7E-J8J7-17958E
53.2472,-6.5991,N7E-J8J7-17958E
53.2502,-6.5907,N7E-J7J8-17327E
53.0036,-7.47111,NOT-IN-SCOPE
53.0033,-7.47389,NOT-IN-SCOPE
52.9487,-7.79816,NOT-IN-SCOPE
52.9492,-7.80177,NOT-IN-SCOPE
53.314944,-6.382472,N7E-J1AJ1-1727E
53.30825,-6.404528,N7E-J1AJ2-2942E
